loan_id,obligor_name,industry,country,seniority,rating,rating_factor,par_balance,market_price,spread_bps,benchmark_rate,coupon_rate,maturity_date,remaining_life_years,recovery_rate,default_status,ccc_flag,watchlist_flag,collateral_haircut_pct,annual_interest_income
PG26-001,Atlas Industrial Systems,Healthcare,United States,First Lien,B+,250,2634130,99.04,375,0.0425,0.08,2030-01-15,3.4,0.68,False,False,False,0.0,210730.4
PG26-002,Northstar Packaging,Technology,United States,First Lien,B+,250,2715979,95.14,625,0.0425,0.105,2030-02-14,3.5,0.68,False,False,False,0.0,285177.79
PG26-003,Meridian Cloud Services,Telecom,United States,First Lien,B-,500,2792550,95.54,450,0.0425,0.0875,2030-03-16,3.6,0.68,False,False,False,0.0,244348.12
PG26-004,Harbor Health Products,Packaging,United States,First Lien,B,350,2841430,94.95,625,0.0425,0.105,2030-04-15,3.7,0.68,False,False,False,0.0,298350.15
PG26-005,Keystone Telecom,Industrial,United States,First Lien,B-,500,2888887,96.14,400,0.0425,0.0825,2030-05-15,3.8,0.68,False,False,False,0.0,238333.18
PG26-006,Summit Equipment Leasing,Business Services,United States,First Lien,B,350,3033793,95.6,425,0.0425,0.085,2030-06-14,3.9,0.68,False,False,False,0.0,257872.41
PG26-007,Willow Advisory 006,Chemicals,United States,First Lien,B,350,3108467,95.34,400,0.0425,0.0825,2030-07-14,4.0,0.68,False,False,False,0.0,256448.53
PG26-008,Trident Networks 007,Consumer Products,United States,First Lien,B-,500,3159208,96.93,450,0.0425,0.0875,2030-08-13,4.1,0.68,False,False,False,0.0,276430.7
PG26-009,Quasar Logistics 008,Food & Beverage,United States,Second Lien,B-,500,3292584,97.78,700,0.0425,0.1125,2030-09-12,4.2,0.48,False,False,False,0.0,370415.7
PG26-010,Quasar Medical 009,Software,United States,First Lien,B-,500,2616380,99.98,550,0.0425,0.0975,2030-10-12,4.3,0.68,False,False,False,0.0,255097.05
PG26-011,Delta Advisory 010,Aerospace,United States,First Lien,B,350,2649149,99.0,450,0.0425,0.0875,2030-11-11,4.4,0.68,False,False,False,0.0,231800.54
PG26-012,Orchard Networks 011,Financial Services,United States,First Lien,B,350,2721648,92.42,475,0.0425,0.09,2030-12-11,4.5,0.68,False,False,False,0.0,244948.32
PG26-013,Vector Distribution 012,Transportation,United States,First Lien,B+,250,2832104,100.47,575,0.0425,0.1,2031-01-10,4.6,0.68,False,False,False,0.0,283210.4
PG26-014,Pioneer Components 013,Energy Services,United States,First Lien,CCC+,900,2943389,92.03,375,0.0425,0.08,2031-02-09,4.7,0.6,False,True,False,0.0,235471.12
PG26-015,Juniper Medical 014,Healthcare,United States,First Lien,CCC+,900,3054204,98.65,400,0.0425,0.0825,2031-03-11,4.8,0.6,False,True,False,0.0,251971.83
PG26-016,Vector Services 015,Technology,United States,First Lien,B+,250,3128600,98.47,625,0.0425,0.105,2031-04-10,4.9,0.68,False,False,False,0.0,328503.0
PG26-017,Evergreen Labs 016,Telecom,United States,First Lien,B-,500,3139456,101,400,0.0425,0.0825,2031-05-10,5.0,0.68,False,False,False,0.0,259005.12
PG26-018,Juniper Services 017,Packaging,United States,First Lien,B-,500,3226092,84.27,625,0.0425,0.105,2031-06-09,5.1,0.68,False,False,True,0.0551,338739.66
PG26-019,Monarch Distribution 018,Industrial,United States,First Lien,BB,100,2628908,98.76,625,0.0425,0.105,2031-07-09,5.2,0.68,False,False,False,0.0,276035.34
PG26-020,Delta Holdings 019,Business Services,United States,First Lien,B,350,2673281,94.57,400,0.0425,0.0825,2031-08-08,5.3,0.68,False,False,False,0.0,220545.68
PG26-021,Beacon Aviation 020,Chemicals,United States,First Lien,B,350,2781896,92.41,525,0.0425,0.095,2031-09-07,5.4,0.68,False,False,False,0.0,264280.12
PG26-022,Trident Networks 021,Consumer Products,United States,First Lien,CCC+,900,2895444,96.34,375,0.0425,0.08,2031-10-07,5.5,0.6,False,True,False,0.0,231635.52
PG26-023,Juniper Aviation 022,Food & Beverage,United States,First Lien,B,350,2970384,101,400,0.0425,0.0825,2031-11-06,5.6,0.68,False,False,False,0.0,245056.68
PG26-024,Union Services 023,Software,United States,First Lien,B,350,3034427,97.92,425,0.0425,0.085,2031-12-06,5.7,0.68,False,False,False,0.0,257926.3
PG26-025,Cobalt Manufacturing 024,Aerospace,United States,First Lien,B+,250,3022671,99.1,525,0.0425,0.095,2032-01-05,5.8,0.68,False,False,True,0.0,287153.74
PG26-026,Juniper Chemicals 025,Financial Services,United States,First Lien,B-,500,3123733,94.48,425,0.0425,0.085,2032-02-04,5.9,0.68,False,False,False,0.0,265517.3
PG26-027,Vector Advisory 026,Transportation,United States,Second Lien,B,350,3278033,91.84,675,0.0425,0.11,2032-03-05,6.0,0.48,False,False,False,0.0,360583.63
PG26-028,Liberty Networks 027,Energy Services,United States,First Lien,B+,250,2557724,98.44,475,0.0425,0.09,2032-04-04,6.1,0.68,False,False,False,0.0,230195.16
PG26-029,Orchard Foods 028,Healthcare,United States,First Lien,B+,250,2710655,101,400,0.0425,0.0825,2032-05-04,6.2,0.68,False,False,False,0.0,223629.04
PG26-030,Horizon Labs 029,Technology,United States,First Lien,B,350,2706058,95.84,450,0.0425,0.0875,2032-06-03,6.3,0.68,False,False,False,0.0,236780.07
PG26-031,Union Distribution 030,Telecom,United States,Second Lien,B,350,2859237,100.28,525,0.0425,0.095,2032-07-03,6.4,0.48,False,False,False,0.0,271627.52
PG26-032,Zenith Services 031,Packaging,United States,First Lien,B,350,2879995,98.16,450,0.0425,0.0875,2032-08-02,6.5,0.68,False,False,False,0.0,251999.56
PG26-033,Orchard Manufacturing 032,Industrial,United States,First Lien,B-,500,2981969,99.35,425,0.0425,0.085,2032-09-01,6.6,0.68,False,False,False,0.0,253467.37
PG26-034,Apex Holdings 033,Business Services,United States,First Lien,CCC+,900,3100849,89.57,525,0.0425,0.095,2032-10-01,6.7,0.6,False,True,False,0.0365,294580.66
PG26-035,Apex Software 034,Chemicals,United States,First Lien,B+,250,3154770,97.03,375,0.0425,0.08,2032-10-31,6.8,0.68,False,False,False,0.0,252381.6
